order_id,customer_name,product,quantity,unit_price,discount,order_date
1,Tomas,Trowel,7,6.40,0,2027-02-03
2,Ursula,Planter,3,18.75,0.10,2027-02-07
3,Viktor,Hose,2,34.20,0,2027-02-12
4,Wendy,Trowel,12,6.40,0,2027-02-18
5,Xavier,Mower,1,289.99,0.05,2027-02-24
6,Tomas,Planter,6,18.75,0,2027-03-02
7,Ursula,Trowel,9,6.40,0,2027-03-08
8,Viktor,Mower,2,289.99,0.15,2027-03-15
9,Wendy,Hose,1,34.20,0,2027-03-19
10,Xavier,Trowel,14,6.40,0,2027-03-26
11,Tomas,Hose,4,34.20,0.10,2027-04-01
12,Ursula,Mower,1,289.99,0,2027-04-09
13,Viktor,Planter,8,18.75,0,2027-04-14
14,Wendy,Mower,2,289.99,0,2027-04-20
15,Xavier,Hose,3,34.20,0,2027-04-27
16,Tomas,Trowel,5,6.40,0.20,2027-05-05
17,Ursula,Hose,2,34.20,0,2027-05-11
18,Viktor,Trowel,10,6.40,0,2027-05-18
19,Wendy,Planter,4,18.75,0.10,2027-05-23
20,Xavier,Mower,1,289.99,0,2027-05-30
