order_id,customer_name,product,quantity,unit_price,discount,order_date
1,Alice,Widget,5,12.50,0,2026-01-03
2,Bob,Gadget,3,24.99,0.10,2026-01-04
3,Charlie,Gizmo,2,49.95,0,2026-01-05
4,Diana,Widget,8,12.50,0,2026-01-06
5,Eve,Doohickey,1,99.99,0.05,2026-01-07
6,Alice,Gadget,4,24.99,0,2026-02-10
7,Bob,Widget,6,12.50,0,2026-02-11
8,Charlie,Doohickey,3,99.99,0.15,2026-02-12
9,Diana,Gizmo,1,49.95,0,2026-02-14
10,Eve,Widget,10,12.50,0,2026-02-15
11,Alice,Gizmo,2,49.95,0.10,2026-03-18
12,Bob,Doohickey,2,99.99,0,2026-03-20
13,Charlie,Gadget,5,24.99,0,2026-03-22
14,Diana,Doohickey,4,99.99,0,2026-03-25
15,Eve,Gizmo,3,49.95,0,2026-03-28
16,Alice,Widget,3,12.50,0.20,2026-04-01
17,Bob,Gizmo,1,49.95,0,2026-04-05
18,Charlie,Widget,7,12.50,0,2026-04-08
19,Diana,Gadget,2,24.99,0.10,2026-04-12
20,Eve,Doohickey,2,99.99,0,2026-04-15
